Epoch:0
loss,train,1.5096364874071844,val,1.3961845976965768
Accuracy,train,0.3705524344569288,val,0.5049954586739328
Epoch:1
loss,train,1.3530018037178095,val,1.326747373172215
Accuracy,train,0.5115870786516854,val,0.51952770208901
Epoch:2
loss,train,1.239783630835429,val,1.322461816242763
Accuracy,train,0.607560861423221,val,0.5231607629427792
Epoch:3
loss,train,1.1204034420434896,val,1.3142663512911117
Accuracy,train,0.6941713483146067,val,0.49227974568574023
Epoch:4
loss,train,1.0140113724528173,val,1.3135989086968558
Accuracy,train,0.7668539325842697,val,0.4986376021798365
Epoch:5
loss,train,0.918860833296615,val,1.2957895176751273
Accuracy,train,0.8286516853932584,val,0.5204359673024523
Epoch:6
loss,train,0.8443752374318655,val,1.3129099437168665
Accuracy,train,0.8644662921348315,val,0.48864668483197093
Epoch:7
loss,train,0.7785765501890289,val,1.3334790536335535
Accuracy,train,0.8856507490636704,val,0.4940962761126249
Epoch:8
loss,train,0.7200761028889858,val,1.3040969303676062
Accuracy,train,0.9044943820224719,val,0.5059037238873751
Epoch:9
loss,train,0.6804993083414512,val,1.3057416932923454
Accuracy,train,0.9143258426966292,val,0.5104450499545867
Epoch:10
loss,train,0.6283362075853883,val,1.3208900860377721
Accuracy,train,0.9268492509363296,val,0.5049954586739328
Epoch:11
loss,train,0.5893547396534836,val,1.3511417695454189
Accuracy,train,0.9351591760299626,val,0.4841053587647593
Epoch:12
loss,train,0.5549651233667738,val,1.355944880417415
Accuracy,train,0.9407771535580525,val,0.48501362397820164
Epoch:13
loss,train,0.5246325943912015,val,1.3748036112104143
Accuracy,train,0.9441713483146067,val,0.4877384196185286
Epoch:14
loss,train,0.48853544293717943,val,1.368802617277418
Accuracy,train,0.9499063670411985,val,0.5031789282470481
Epoch:15
loss,train,0.46246500720692035,val,1.3911116651126316
Accuracy,train,0.9542368913857678,val,0.4868301544050863
Epoch:16
loss,train,0.42918506373515286,val,1.415365731716156
Accuracy,train,0.9624297752808989,val,0.4904632152588556
Epoch:17
loss,train,0.4120606246233433,val,1.409811990601676
Accuracy,train,0.9612593632958801,val,0.4904632152588556
Epoch:18
loss,train,0.38609953793916807,val,1.4160839881215777
Accuracy,train,0.9650046816479401,val,0.4940962761126249
Epoch:19
loss,train,0.35705970054708625,val,1.422411859035492
Accuracy,train,0.9722612359550562,val,0.48864668483197093
Epoch:0
loss,train,1.4828534095028367,val,1.3275809390204294
Accuracy,train,0.36271067415730335,val,0.4841053587647593
Epoch:1
loss,train,1.2725959492756638,val,1.2437020540237427
Accuracy,train,0.5131086142322098,val,0.51952770208901
Epoch:2
loss,train,1.1475361305452907,val,1.2079082386834277
Accuracy,train,0.5970271535580525,val,0.5022706630336058
Epoch:0
loss,train,1.530961641658111,val,1.367633761678423
Accuracy,train,0.3059456928838951,val,0.43869209809264303
