train,1.5841195264112637,val,1.5079228613111708
loss,train,0.8099896335199978,val,1.3874506420559354
Accuracy,train,0.9036750936329588,val,0.4895549500454133
Epoch:0
loss,train,1.4903595275646737,val,1.3655109935336642
Accuracy,train,0.34983614232209737,val,0.42779291553133514
Epoch:1
loss,train,1.374526186159041,val,1.3415172232521906
Accuracy,train,0.456811797752809,val,0.48319709355131696
Epoch:2
loss,train,1.3099691354380123,val,1.3256958458158705
Accuracy,train,0.5170880149812734,val,0.48047229791099
Epoch:3
loss,train,1.2444197333484106,val,1.3072377973132663
Accuracy,train,0.5708099250936329,val,0.5249772933696639
Epoch:4
loss,train,1.1677848808327866,val,1.349277204937405
Accuracy,train,0.6365870786516854,val,0.5113533151680291
Epoch:5
loss,train,1.0941066455082062,val,1.3625767098532782
Accuracy,train,0.6926498127340824,val,0.49682107175295187
Epoch:6
loss,train,1.0374793422579318,val,1.3757502767774794
Accuracy,train,0.7349016853932584,val,0.485921889191644
Epoch:7
loss,train,0.9845506856950481,val,1.375472558869256
Accuracy,train,0.7727059925093633,val,0.5068119891008175
Epoch:8
loss,train,0.9523118409547913,val,1.3929373290803697
Accuracy,train,0.7933052434456929,val,0.47593097184377836
Epoch:9
loss,train,0.9191327633036209,val,1.3905238310496013
Accuracy,train,0.8172986891385767,val,0.4913714804722979
Epoch:10
loss,train,0.8910229346725379,val,1.3971216811074152
Accuracy,train,0.8348548689138576,val,0.485921889191644
Epoch:11
loss,train,0.867042216133982,val,1.392851710319519
Accuracy,train,0.8486657303370787,val,0.49318801089918257
Epoch:12
loss,train,0.8591816752367697,val,1.3845537503560383
Accuracy,train,0.8562734082397003,val,0.4986376021798365
Epoch:13
loss,train,0.8380149716741584,val,1.3892809417512682
Accuracy,train,0.8675093632958801,val,0.4841053587647593
