train,1.5841195264112637,val,1.5079228613111708
Accuracy,train,0.27586610486891383,val,0.35876475930971846
Epoch:0
loss,train,1.5711985616648243,val,1.4383562008539836
Accuracy,train,0.30500936329588013,val,0.45231607629427795
Epoch:1
loss,train,1.4592633550979672,val,1.4052764309777155
Accuracy,train,0.41889044943820225,val,0.4786557674841054
Epoch:0
loss,train,1.5280458442727276,val,1.4289888011084662
Accuracy,train,0.3390683520599251,val,0.4214350590372389
Epoch:1
loss,train,1.4005932881591032,val,1.3774142265319824
Accuracy,train,0.4585674157303371,val,0.47774750227066304
Epoch:2
loss,train,1.3449228705091865,val,1.379692554473877
Accuracy,train,0.5214185393258427,val,0.47956403269754766
Epoch:3
loss,train,1.293997969520226,val,1.3956948386298285
Accuracy,train,0.567064606741573,val,0.48319709355131696
Epoch:4
loss,train,1.2377847070327854,val,1.371599170896742
Accuracy,train,0.6271067415730337,val,0.5059037238873751
Epoch:5
loss,train,1.1880230222748465,val,1.4249554210238986
Accuracy,train,0.6649110486891385,val,0.4732061762034514
Epoch:6
loss,train,1.1455720876263318,val,1.3859763542811077
Accuracy,train,0.7050561797752809,val,0.5013623978201635
Epoch:7
loss,train,1.101505450429988,val,1.4048919412824843
Accuracy,train,0.7381788389513109,val,0.47411444141689374
Epoch:8
loss,train,1.0708802594674205,val,1.4003451135423448
Accuracy,train,0.7662687265917603,val,0.4950045413260672
Epoch:9
loss,train,1.0494125225347513,val,1.4098668760723538
Accuracy,train,0.7871020599250936,val,0.47956403269754766
Epoch:10
loss,train,1.0258238657136978,val,1.394351601600647
Accuracy,train,0.8018492509363296,val,0.4986376021798365
Epoch:11
loss,train,1.0121225018179822,val,1.3977897829479642
Accuracy,train,0.8156601123595506,val,0.4904632152588556
Epoch:12
loss,train,0.99681539113602,val,1.4087280564837985
Accuracy,train,0.8280664794007491,val,0.4913714804722979
Epoch:13
loss,train,0.9784453406316064,val,1.395486937628852
Accuracy,train,0.8361423220973783,val,0.485921889191644
Epoch:14
loss,train,0.9698948962858107,val,1.390267226431105
Accuracy,train,0.8426966292134831,val,0.4950045413260672
Epoch:15
loss,train,0.9641010173027882,val,1.3975900014241536
Accuracy,train,0.8431647940074907,val,0.4904632152588556
Epoch:16
loss,train,0.9529674952842769,val,1.380280441708035
Accuracy,train,0.8541666666666666,val,0.5013623978201635
Epoch:17
loss,train,0.9312135668729575,val,1.4040290514628093
Accuracy,train,0.8671582397003745,val,0.4822888283378747
Epoch:18
loss,train,0.9264549562770329,val,1.396980298890008
Accuracy,train,0.8671582397003745,val,0.485921889191644
Epoch:19
loss,train,0.916045833058125,val,1.3865107827716403
Accuracy,train,0.8710205992509363,val,0.5022706630336058
Epoch:20
loss,train,0.9160460887776779,val,1.3685892820358276
Accuracy,train,0.8740636704119851,val,0.5040871934604905
Epoch:21
loss,train,0.9042547068345861,val,1.3878450526131525
Accuracy,train,0.8757022471910112,val,0.4950045413260672
Epoch:22
